"a._id","a._parent","a.water_height"
230,null,null
231,null,null
232,null,null
233,null,null
234,null,null
235,null,null
236,null,null
237,null,null
238,null,0
239,null,null
240,null,null
241,null,null
242,null,null
243,null,null
244,null,null
245,null,null
246,null,0
247,null,null
248,null,0
249,null,null
250,null,0
251,null,null
252,null,0
253,null,null
254,null,0
255,null,null
256,null,null
257,null,0
258,null,2
259,null,0
260,null,1
261,null,0
262,null,0
263,null,null
264,null,null
265,null,null
266,null,null
267,null,0
268,null,0
269,null,0
270,null,10
271,null,0
272,null,0
273,null,0
274,null,null
275,null,null
276,null,0
277,null,null
278,null,null
279,null,null
280,null,null
281,null,null
282,null,null
283,null,null
284,null,null
285,null,null
286,null,null
287,null,0
288,null,null
289,null,null
290,null,null
291,null,null
292,null,null
293,null,null
294,null,null
295,null,0
296,null,null
297,null,null
298,null,0
299,null,null
300,null,0
301,null,null
302,null,null
303,null,0
304,null,null
305,null,10
306,null,null
307,null,0
308,null,null
309,null,0
310,null,0
311,null,0
312,null,0
313,null,0
314,null,null
315,null,null
316,null,null
317,null,null
318,null,0
319,null,10
320,null,0
321,null,30
322,null,0
323,null,0
324,null,0
325,null,0
326,null,0
327,null,0
328,null,0
329,null,0
330,null,0
331,null,0
332,null,0
333,null,0
334,null,null
335,null,null
336,null,null
337,null,null
338,null,null
339,null,0
340,null,null
341,null,null
342,null,0
343,null,0
344,null,0
345,null,null
346,null,null
347,null,null
348,null,null
349,null,0
350,null,0
351,null,0
352,null,0
353,null,0
354,null,0
355,null,0
481,null,null
356,null,0
357,null,0
358,null,0
359,null,0
360,null,null
361,null,null
362,null,null
363,null,null
364,null,null
365,null,0
366,null,null
367,null,0
368,null,0
369,null,0
370,null,0
371,null,null
372,null,null
373,null,null
374,null,null
375,null,null
376,null,null
377,null,null
378,null,null
379,null,null
380,null,0
381,null,0
382,null,0
383,null,0
384,null,0
385,null,0
386,null,0
387,null,0
388,null,0
389,null,0
390,null,0
391,null,null
392,null,null
393,null,null
394,null,null
395,null,null
396,null,0
397,null,null
398,null,null
399,null,0
400,null,0
401,null,0
402,null,null
403,null,null
404,null,null
405,null,null
406,null,null
407,null,null
408,null,null
409,null,null
410,null,null
411,null,null
412,null,null
413,null,null
414,null,null
415,null,0
416,null,0
417,null,0
418,null,3
419,null,0
420,null,0
421,null,0
422,null,0
423,null,0
424,null,0
425,null,null
426,null,null
427,null,null
428,null,null
429,null,null
430,null,0
431,null,null
432,null,null
433,null,null
434,null,0
435,null,0
436,null,null
437,null,null
438,null,null
439,null,null
440,null,null
441,null,null
442,null,null
443,null,null
444,null,null
445,null,null
446,null,null
447,null,null
448,null,null
449,null,null
450,null,null
451,null,null
452,null,0
453,null,0
454,null,0
455,null,0
456,null,0
457,null,0
458,null,0
459,null,0
460,null,null
461,null,0
462,null,0
463,null,null
464,null,null
465,null,null
466,null,null
467,null,null
468,null,0
469,null,null
470,null,0
471,null,0
472,null,0
473,null,null
474,null,null
475,null,null
476,null,null
477,null,null
478,null,null
479,null,null
480,null,null
482,null,null
483,null,null
484,null,0
485,null,0
486,null,0
487,null,0
488,null,0
489,null,0
490,null,0
491,null,0
492,null,null
493,null,0
494,null,0
495,null,null
496,null,null
497,null,null
498,null,null
499,null,null
500,null,0
501,null,null
502,null,0
503,null,0
504,null,0
505,null,0
506,null,null
507,null,null
508,null,null
509,null,null
510,null,null
511,null,null
512,null,null
513,null,null
514,null,null
515,null,null
516,null,null
517,null,null
518,null,null
519,null,null
520,null,null
521,null,null
522,null,null
523,null,null
524,null,null
525,null,null
526,null,null
527,null,null
528,null,null
529,null,0
530,null,null
531,null,0
532,null,null
533,null,0
534,null,null
535,null,0
536,null,null
537,null,null
538,null,0
539,null,null
540,null,0
541,null,0
542,null,1
543,null,0
544,null,null
545,null,0
546,null,0
547,null,null
548,null,null
549,null,null
550,null,0
551,null,0
552,null,null
553,null,0
554,null,0
555,null,0
556,null,null
557,null,0
558,null,0
559,null,null
560,null,null
561,null,null
562,null,null
563,null,null
564,null,null
565,null,null
566,null,null
567,null,null
568,null,null
569,null,null
570,null,null
571,null,null
572,null,null
573,null,null
574,null,null
575,null,null
576,null,null
577,null,0
578,null,null
579,null,0
580,null,null
581,null,0
582,null,null
583,null,0
584,null,null
585,null,0
586,null,null
587,null,0
588,null,0
589,null,0
590,null,0
591,null,0
592,null,0
593,null,null
594,null,null
595,null,null
596,null,0
597,null,0
598,null,0
599,null,null
600,null,0
601,null,0
602,null,0
603,null,0
604,null,null
605,null,null
606,null,null
607,null,null
608,null,null
609,null,null
610,null,null
611,null,null
612,null,null
613,null,null
614,null,null
615,null,null
616,null,null
617,null,null
618,null,null
619,null,null
620,null,null
621,null,null
622,null,null
623,null,0
624,null,null
625,null,0
626,null,null
627,null,0
628,null,null
629,null,0
630,null,null
631,null,0
632,null,null
633,null,0
634,null,0
635,null,0
636,null,0
637,null,0
638,null,0
639,null,null
640,null,null
641,null,0
642,null,0
643,null,0
644,null,0
645,null,0
646,null,null
647,null,0
648,null,0
649,null,0
650,null,0
651,null,null
652,null,null
653,null,null
654,null,null
655,null,null
656,null,null
657,null,null
658,null,null
659,null,null
660,null,null
661,null,null
662,null,null
663,null,null
664,null,null
665,null,null
666,null,null
667,null,null
668,null,null
669,null,null
670,null,null
671,null,null
672,null,null
673,null,0
674,null,null
675,null,0
676,null,null
677,null,null
678,null,0
679,null,null
680,null,0
681,null,null
682,null,0
683,null,0
684,null,0
685,null,0
686,null,0
687,null,0
688,null,0
689,null,null
690,null,null
691,null,null
692,null,null
693,null,0
694,null,0
695,null,0
696,null,0
697,null,0
698,null,0
699,null,0
700,null,null
701,null,0
702,null,null
703,null,null
704,null,null
705,null,null
706,null,null
707,null,null
708,null,null
709,null,null
710,null,null
711,null,null
712,null,null
713,null,null
714,null,0
715,null,0
716,null,0
717,null,0
718,null,0
719,null,0
720,null,0
721,null,0
722,null,null
723,null,0
724,null,0
725,null,null
726,null,null
727,null,null
728,null,null
729,null,0
730,null,0
731,null,0
732,null,0
733,null,0
734,null,null
735,null,0
736,null,null
737,null,null
738,null,null
739,null,null
740,null,null
741,null,null
742,null,null
743,null,null
744,null,null
745,null,null
746,null,null
747,null,null
748,null,null
749,null,null
750,null,null
751,null,null
752,null,0
753,null,0
754,null,0
755,null,null
756,null,0
757,null,0
758,null,0
760,null,0
761,null,0
762,null,0
763,null,null
764,null,null
765,null,null
766,null,null
767,null,0
768,null,0
769,null,0
770,null,0
771,null,0
772,null,0
773,null,0
